Sex,Weight (Sep),Weight (Apr),BMI (Sep),BMI (Apr)
F,42,49,15.08,17.74
F,49,50,18.37,18.53
F,50,47,17.63,16.89
F,51,54,18.31,19.28
F,52,57,17.72,19.42
F,52,53,19.31,19.75
F,53,56,20.63,21.91
F,54,56,18.61,19.34
F,55,60,21.64,23.81
F,56,58,21.73,22.58
F,57,59,22.15,22.93
F,58,58,21.09,21.24
F,58,56,21.88,21.02
F,59,62,19.64,20.63
M,60,61,18.89,19.27
F,60,64,19.5,20.9
F,61,60,23.3,22.88
F,62,65,22.61,23.81
F,63,64,21.78,22.22
F,63,66,21.89,22.79
F,63,65,23.87,24.67
M,64,68,19.59,20.77
M,64,66,20.27,20.76
F,64,68,22.84,24.29
F,64,60,24.24,22.88
M,65,71,22.51,24.45
F,65,68,23.02,24.1
M,66,71,21.4,22.97
M,67,67,20.49,20.6
M,67,66,20.68,20.15
F,68,64,21.51,20.1
M,68,68,22.4,22.61
M,68,69,22.4,22.82
M,68,69,22.76,23.19
F,69,69,28.17,28.43
M,70,71,20.96,21.32
F,70,68,27.3,26.73
F,70,68,30.26,29.24
M,71,77,22.26,23.87
M,71,69,24.57,23.85
M,72,59,22.02,18.14
M,73,75,25.88,26.72
M,74,77,20.31,21.34
M,74,78,20.31,21.36
M,74,82,22.64,25.33
M,74,69,24.09,22.43
M,75,82,23.69,25.8
M,77,79,28.59,29.53
M,80,82,22.14,22.57
M,81,82,26.52,26.78
M,87,88,23.6,23.81
M,92,92,24.74,24.69
M,93,88,26.97,25.57
M,94,105,36.57,40.86
M,97,86,19.7,17.44
